x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
-250919.76230527507,-62973.41423227607,-1.4972473467349612,172.70299420889796,5719958.825636339,-0.42545791889023166,5930.278163112882,1.077598909457775,1.4685090555000517,413.57801140269487,155502.45015668418,-2068331.9118145946,3965399824.7600164
901428.6128198323,8380.189475671636,-1.5897790920757446,296.6813971913723,8054323.31245663,-0.10625736249991435,-13104.54551579335,1.3735450564622587,1.4058377083849427,25.360481819497977,133101.6529272718,-4241556.480483163,71128724.48373604
463987.88362281024,74589.16717528165,2.5525728113041835,-249.53210120750103,7601609.321885497,1.4181895728087213,14895.7825341926,2.662491610179885,0.28193297746037954,224.91027183608435,46884.65187657303,-1748164.0183716225,5564007725.493285
197316.9683940732,46444.97728191223,-1.5736476372328758,124.87409960699893,1538999.1315477465,-0.6399824557604314,4524.64956276966,2.5335367126766712,1.85288756932102,-63.95170202741218,283996.6685558184,-3268679.0695567313,2157333126.747417
-687962.7191151269,61312.22957228994,-1.4328821300868664,71.74598314374873,1492494.7824897922,1.4785987392486852,-13711.844657721831,1.7012853829142938,1.1800971840979573,130.03457754243823,212143.28827974587,-4712081.782547187,3758501477.3806
-688010.9593275947,31756.673342143476,1.6298473511324643,332.8303767882711,2681743.7506316965,-1.647462276093234,18493.522299248274,1.753621255548425,0.7910784901578,-159.42406257888132,426135.545778202,217608.8673861064,1007798638.5130368
-883832.7756636011,38455.312903570506,-0.3157938834512981,406.08706048126055,3610747.3273028997,1.107193748834523,734.618533412824,2.0671088671071587,1.5374233086410827,-198.84098021455463,-32339.73073486796,-1471802.9701464172,1477927148.1203341
732352.2915498703,69839.13031306386,1.7386237058022749,-487.8432285226132,4084555.873239268,1.3901905322189454,-17084.0619251338,1.000482009370269,0.5889943709631047,78.22978616951366,304127.3601553195,-176945.87471034098,4878236008.727255
202230.02348641772,-50066.39822816281,-2.730884972794462,174.01991905879265,6796972.200363731,-1.272729388650645,5073.31617660269,1.4824886720760557,1.417668690388009,-1.8703258160196583,369621.88318135863,-1281691.9724271079,2506846407.6047153
416145.1555920909,-2115.0072713718982,-0.07809249329717227,-448.164200880271,566804.4159903108,-0.27861387051119824,-9872.04371948759,1.4164636172164289,0.17545129438726972,79.53636914998106,367717.6130535689,-3036589.693229379,4889449.372989342
-958831.0114083951,-55758.11163607956,-2.9303921747967827,48.85866507735591,346727.13879339345,-1.3380009013453775,12147.738075092097,1.500965893499527,1.6948752714576167,-213.33941871297702,437340.6819025388,-2180215.602191537,3108008186.138051
939819.7043239886,97533.60159932941,-2.7479309661913764,-212.36727095632182,3919105.690248034,0.826416515976871,12712.882942647626,2.6118116850668827,0.9515246093405051,-133.04216818300472,350968.5585562217,-1283392.818090526,9513743359.123615
664885.2816008434,88811.86793732265,2.5537218351410917,-193.22340047785877,6971636.951663435,0.14139107224662695,19157.894234186475,1.5593477130928863,1.3097165372800894,-416.1020393710907,460295.533906233,281387.78860790655,7888212682.543996
